date,AhAkku,AhLad,AhEla,AhStep,Energie,WhStep,Spannung,Strom,Temp7
04-01-2013 17:27,0,0,0,0,0,0,3.629031402,0,25.375
04-01-2013 17:27,0,0,0,0,0,0,3.629394341,0,25.4375
04-01-2013 17:27,0,0,0,0,0,0,3.629394341,0,25.4375
04-01-2013 17:28,0,0,0,0,0,0,3.629031402,0,25.375
04-01-2013 17:28,0,0,0,0,0,0,3.629394341,0,25.375
04-01-2013 17:28,0,0,0,0,0,0,3.629394341,0,25.4375
04-01-2013 17:28,0,0,0,0,0,0,3.629031402,0,25.4375
04-01-2013 17:28,0,0,0,0,0,0,3.629394341,0,25.4375
04-01-2013 17:28,0,0,0,0,0,0,3.629757281,0,25.4375
04-01-2013 17:29,0,0,0,0,0,0,3.629394341,0,25.4375
04-01-2013 17:29,0,0,0,0,0,0,3.629394341,0,25.4375
04-01-2013 17:29,0,0,0,0,0,0,3.629394341,0,25.4375
04-01-2013 17:29,0,0,0,0,0,0,3.629031402,0,25.4375
04-01-2013 17:29,0,0,0,0,0,0,3.629757281,0,25.4375
04-01-2013 17:29,0,0,0,0,0,0,3.629757281,0,25.4375
04-01-2013 17:30,0,0,0,0,0,0,3.629394341,0,25.4375
04-01-2013 17:30,0,0,0,0,0,0,3.629757281,0,25.4375
04-01-2013 17:30,0,0,0,0,0,0,3.629757281,0,25.4375
04-01-2013 17:30,0,0,0,0,0,0,3.63012022,0,25.4375
04-01-2013 17:30,0,0,0,0,0,0,3.63012022,0,25.5
04-01-2013 17:30,0,0,0,0,0,0,3.63048316,0,25.4375
04-01-2013 17:31,0,0,0,0,0,0,3.629394341,0,25.4375
04-01-2013 17:31,0,0,0,0,0,0,3.629757281,0,25.4375
04-01-2013 17:31,0,0,0,0,0,0,3.63012022,0,25.4375
04-01-2013 17:31,0,0,0,0,0,0,3.629394341,0,25.4375
04-01-2013 17:31,0,0,0,0,0,0,3.629394341,0,25.4375
04-01-2013 17:31,0,0,0,0,0,0,3.629757281,0,25.4375
04-01-2013 17:32,0,0,0,0,0,0,3.629757281,0,25.4375
04-01-2013 17:32,0,0,0,0,0,0,3.629031402,0,25.4375
04-01-2013 17:32,0,0,0,0,0,0,3.629394341,0,25.4375
04-01-2013 17:32,0,0,0,0,0,0,3.629757281,0,25.4375
04-01-2013 17:32,0,0,0,0,0,0,3.629031402,0,25.4375
04-01-2013 17:32,0,0,0,0,0,0,3.629757281,0,25.4375
04-01-2013 17:33,0,0,0,0,0,0,3.629394341,0,25.4375
04-01-2013 17:33,0,0,0,0,0,0,3.629394341,0,25.5
04-01-2013 17:33,0,0,0,0,0,0,3.629757281,0,25.5
04-01-2013 17:33,0,0,0,0,0,0,3.629757281,0,25.5
04-01-2013 17:33,0,0,0,0,0,0,3.629394341,0,25.5
04-01-2013 17:33,0,0,0,0,0,0,3.629394341,0,25.5
04-01-2013 17:34,0,0,0,0,0,0,3.629394341,0,25.5
04-01-2013 17:34,0,0,0,0,0,0,3.629394341,0,25.5
04-01-2013 17:34,0,0,0,0,0,0,3.629394341,0,25.5
04-01-2013 17:34,0,0,0,0,0,0,3.629757281,0,25.5
04-01-2013 17:34,0,0,0,0,0,0,3.629394341,0,25.5
04-01-2013 17:34,0,0,0,0,0,0,3.629757281,0,25.5
04-01-2013 17:35,0,0,0,0,0,0,3.629394341,0,25.5
04-01-2013 17:35,0,0,0,0,0,0,3.629031402,0,25.5
04-01-2013 17:35,0,0,0,0,0,0,3.629394341,0,25.5
04-01-2013 17:35,0,0,0,0,0,0,3.629031402,0,25.5
04-01-2013 17:35,0,0,0,0,0,0,3.629031402,0,25.5
04-01-2013 17:35,0,0,0,0,0,0,3.629394341,0,25.5
04-01-2013 17:36,0,0,0,0,0,0,3.629031402,0,25.5
04-01-2013 17:36,0,0,0,0,0,0,3.629757281,0,25.5
04-01-2013 17:36,0,0,0,0,0,0,3.629757281,0,25.5
04-01-2013 17:36,0,0,0,0,0,0,3.629031402,0,25.5
04-01-2013 17:36,0,0,0,0,0,0,3.629394341,0,25.4375
04-01-2013 17:36,0,0,0,0,0,0,3.629394341,0,25.5
04-01-2013 17:37,0,0,0,0,0,0,3.629394341,0,25.4375
04-01-2013 17:37,0,0,0,0,0,0,3.63012022,0,25.4375
04-01-2013 17:37,0,0,0,0,0,0,3.629394341,0,25.4375
04-01-2013 17:37,0,0,0,0,0,0,3.629394341,0,25.4375
04-01-2013 17:37,0,0,0,0,0,0,3.629757281,0,25.4375
04-01-2013 17:37,0,0,0,0,0,0,3.629394341,0,25.4375
04-01-2013 17:38,0,0,0,0,0,0,3.629394341,0,25.4375
04-01-2013 17:38,0,0,0,0,0,0,3.629394341,0,25.4375
04-01-2013 17:38,0,0,0,0,0,0,3.629394341,0,25.4375
04-01-2013 17:38,0,0,0,0,0,0,3.629394341,0,25.4375
04-01-2013 17:38,0,0,0,0,0,0,3.629394341,0,25.375
04-01-2013 17:38,0,0,0,0,0,0,3.629394341,0,25.4375
04-01-2013 17:39,0,0,0,0,0,0,3.629394341,0,25.4375
04-01-2013 17:39,0,0,0,0,0,0,3.629031402,0,25.375
04-01-2013 17:39,0,0,0,0,0,0,3.629394341,0,25.375
04-01-2013 17:39,0,0,0,0,0,0,3.629757281,0,25.375
04-01-2013 17:39,0,0,0,0,0,0,3.629031402,0,25.375
04-01-2013 17:39,0,0,0,0,0,0,3.629394341,0,25.375
04-01-2013 17:40,0,0,0,0,0,0,3.629394341,0,25.375
04-01-2013 17:40,0,0,0,0,0,0,3.629757281,0,25.375
04-01-2013 17:40,0,0,0,0,0,0,3.629394341,0,25.375
04-01-2013 17:40,0,0,0,0,0,0,3.629394341,0,25.375
04-01-2013 17:40,0,0,0,0,0,0,3.629394341,0,25.375
04-01-2013 17:40,0,0,0,0,0,0,3.629394341,0,25.375
04-01-2013 17:41,0,0,0,0,0,0,3.629394341,0,25.375
04-01-2013 17:41,0,0,0,0,0,0,3.629394341,0,25.375
04-01-2013 17:41,0,0,0,0,0,0,3.628668462,0,25.375
04-01-2013 17:41,0,0,0,0,0,0,3.629394341,0,25.375
04-01-2013 17:41,0,0,0,0,0,0,3.629757281,0,25.375
04-01-2013 17:41,0,0,0,0,0,0,3.628668462,0,25.375
04-01-2013 17:42,0,0,0,0,0,0,3.629031402,0,25.375
04-01-2013 17:42,0,0,0,0,0,0,3.629031402,0,25.375
04-01-2013 17:42,0,0,0,0,0,0,3.629031402,0,25.375
04-01-2013 17:42,0,0,0,0,0,0,3.629031402,0,25.375
04-01-2013 17:42,0,0,0,0,0,0,3.629031402,0,25.375
04-01-2013 17:42,0,0,0,0,0,0,3.629394341,0,25.3125
04-01-2013 17:43,0,0,0,0,0,0,3.629031402,0,25.375
04-01-2013 17:43,0,0,0,0,0,0,3.629394341,0,25.375
04-01-2013 17:43,0,0,0,0,0,0,3.629394341,0,25.375
04-01-2013 17:43,0,0,0,0,0,0,3.629031402,0,25.375
04-01-2013 17:43,0,0,0,0,0,0,3.629394341,0,25.3125
04-01-2013 17:43,0,0,0,0,0,0,3.629394341,0,25.375
04-01-2013 17:44,0,0,0,0,0,0,3.629031402,0,25.375
04-01-2013 17:44,0,0,0,0,0,0,3.629031402,0,25.375
04-01-2013 17:44,0,0,0,0,0,0,3.628668462,0,25.375
04-01-2013 17:44,0,0,0,0,0,0,3.629031402,0,25.375
